chr1	Start	End	Unique ID	Gene NMID Ex	Gene	Strand	Purpose			Width
chr12	124363676	124363801	chr12_124363676_124363801_NCOR2	NCOR2_NM_006312.6_exon23_CDS	NCOR2	-	mutation_panel	.	.	125
chr12	124372019	124372612	chr12_124372019_124372612_NCOR2	NCOR2_NM_006312.6_exon22_CDS	NCOR2	-	mutation_panel	.	.	593
chr12	124374410	124374465	chr12_124374410_124374465_NCOR2	NCOR2_NM_006312.6_exon21_CDS	NCOR2	-	mutation_panel	.	.	55
chr12	124378234	124378386	chr12_124378234_124378386_NCOR2	NCOR2_NM_006312.6_exon20_CDS	NCOR2	-	mutation_panel	.	.	152
chr12	124385742	124385889	chr12_124385742_124385889_NCOR2	NCOR2_NM_006312.6_exon19_CDS	NCOR2	-	mutation_panel	.	.	147
chr12	124398116	124398183	chr12_124398116_124398183_NCOR2	NCOR2_NM_006312.6_exon18_CDS	NCOR2	-	mutation_panel	.	.	67
chr12	124400498	124400675	chr12_124400498_124400675_NCOR2	NCOR2_NM_006312.6_exon17_CDS	NCOR2	-	mutation_panel	.	.	177
chr12	124402401	124402563	chr12_124402401_124402563_NCOR2	NCOR2_NM_006312.6_exon16_CDS	NCOR2	-	mutation_panel	.	.	162
chr12	124419954	124420057	chr12_124419954_124420057_NCOR2	NCOR2_NM_006312.6_exon15_CDS	NCOR2	-	mutation_panel	.	.	103
chr12	124422498	124422557	chr12_124422498_124422557_NCOR2	NCOR2_NM_006312.6_exon14_CDS	NCOR2	-	mutation_panel	.	.	59
chr12	124426619	124426802	chr12_124426619_124426802_NCOR2	NCOR2_NM_006312.6_exon13_CDS	NCOR2	-	mutation_panel	.	.	183
chr12	124429610	124429708	chr12_124429610_124429708_NCOR2	NCOR2_NM_006312.6_exon12_CDS	NCOR2	-	mutation_panel	.	.	98
chr12	124430612	124430789	chr12_124430612_124430789_NCOR2	NCOR2_NM_006312.6_exon11_CDS	NCOR2	-	mutation_panel	.	.	177
chr12	124437927	124437998	chr12_124437927_124437998_NCOR2	NCOR2_NM_006312.6_exon10_CDS	NCOR2	-	mutation_panel	.	.	71
chr12	124449812	124449869	chr12_124449812_124449869_NCOR2	NCOR2_NM_006312.6_exon9_CDS	NCOR2	-	mutation_panel	.	.	57
chr12	124457103	124457164	chr12_124457103_124457164_NCOR2	NCOR2_NM_006312.6_exon8_CDS	NCOR2	-	mutation_panel	.	.	61
chr12	124466170	124466288	chr12_124466170_124466288_NCOR2	NCOR2_NM_006312.6_exon7_CDS	NCOR2	-	mutation_panel	.	.	118
chr12	124472949	124473133	chr12_124472949_124473133_NCOR2	NCOR2_NM_006312.6_exon6_CDS	NCOR2	-	mutation_panel	.	.	184
chr12	124483593	124483775	chr12_124483593_124483775_NCOR2	NCOR2_NM_006312.6_exon5_CDS	NCOR2	-	mutation_panel	.	.	182
chr12	124486438	124486570	chr12_124486438_124486570_NCOR2	NCOR2_NM_006312.6_exon4_CDS	NCOR2	-	mutation_panel	.	.	132
chr12	124495144	124495253	chr12_124495144_124495253_NCOR2	NCOR2_NM_006312.6_exon3_CDS	NCOR2	-	mutation_panel	.	.	109
chr13	40559520	40560862	chr13_40559520_40560862_FOXO1	FOXO1_NM_002015.4_exon2_CDS	FOXO1	-	mutation_panel	.	.	1342
chr13	40665580	40666214	chr13_40665580_40666214_FOXO1	FOXO1_NM_002015.4_exon1_CDS	FOXO1	-	mutation_panel	.	.	634
chr13	48303910	48304051	chr13_48303910_48304051_RB1	RB1_NM_000321.3_exon1_CDS	RB1	+	mutation_panel	.	.	141
chr13	48307277	48307408	chr13_48307277_48307408_RB1	RB1_NM_000321.3_exon2_CDS	RB1	+	mutation_panel	.	.	131
chr13	48342596	48342716	chr13_48342596_48342716_RB1	RB1_NM_000321.3_exon3_CDS	RB1	+	mutation_panel	.	.	120
chr13	48345077	48345201	chr13_48345077_48345201_RB1	RB1_NM_000321.3_exon4_CDS	RB1	+	mutation_panel	.	.	124
chr13	48347822	48347865	chr13_48347822_48347865_RB1	RB1_NM_000321.3_exon5_CDS	RB1	+	mutation_panel	.	.	43
chr13	48348953	48349025	chr13_48348953_48349025_RB1	RB1_NM_000321.3_exon6_CDS	RB1	+	mutation_panel	.	.	72
chr13	48360014	48360129	chr13_48360014_48360129_RB1	RB1_NM_000321.3_exon7_CDS	RB1	+	mutation_panel	.	.	115
chr13	48362812	48362959	chr13_48362812_48362959_RB1	RB1_NM_000321.3_exon8_CDS	RB1	+	mutation_panel	.	.	147
chr13	48364891	48364973	chr13_48364891_48364973_RB1	RB1_NM_000321.3_exon9_CDS	RB1	+	mutation_panel	.	.	82
chr13	48367491	48367605	chr13_48367491_48367605_RB1	RB1_NM_000321.3_exon10_CDS	RB1	+	mutation_panel	.	.	114
chr13	48368524	48368606	chr13_48368524_48368606_RB1	RB1_NM_000321.3_exon11_CDS	RB1	+	mutation_panel	.	.	82
chr13	48373402	48373494	chr13_48373402_48373494_RB1	RB1_NM_000321.3_exon12_CDS	RB1	+	mutation_panel	.	.	92
chr13	48376915	48377036	chr13_48376915_48377036_RB1	RB1_NM_000321.3_exon13_CDS	RB1	+	mutation_panel	.	.	121
chr13	48379591	48379652	chr13_48379591_48379652_RB1	RB1_NM_000321.3_exon14_CDS	RB1	+	mutation_panel	.	.	61
chr13	48380050	48380086	chr13_48380050_48380086_RB1	RB1_NM_000321.3_exon15_CDS	RB1	+	mutation_panel	.	.	36
chr13	48380162	48380243	chr13_48380162_48380243_RB1	RB1_NM_000321.3_exon16_CDS	RB1	+	mutation_panel	.	.	81
chr13	48381244	48381445	chr13_48381244_48381445_RB1	RB1_NM_000321.3_exon17_CDS	RB1	+	mutation_panel	.	.	201
chr13	48452990	48453113	chr13_48452990_48453113_RB1	RB1_NM_000321.3_exon18_CDS	RB1	+	mutation_panel	.	.	123
chr13	48456201	48456351	chr13_48456201_48456351_RB1	RB1_NM_000321.3_exon19_CDS	RB1	+	mutation_panel	.	.	150
chr13	48459685	48459835	chr13_48459685_48459835_RB1	RB1_NM_000321.3_exon20_CDS	RB1	+	mutation_panel	.	.	150
chr13	48463728	48463837	chr13_48463728_48463837_RB1	RB1_NM_000321.3_exon21_CDS	RB1	+	mutation_panel	.	.	109
chr13	48464995	48465113	chr13_48464995_48465113_RB1	RB1_NM_000321.3_exon22_CDS	RB1	+	mutation_panel	.	.	118
chr13	48465202	48465370	chr13_48465202_48465370_RB1	RB1_NM_000321.3_exon23_CDS	RB1	+	mutation_panel	.	.	168
chr13	48473357	48473392	chr13_48473357_48473392_RB1	RB1_NM_000321.3_exon24_CDS	RB1	+	mutation_panel	.	.	35
chr13	48476698	48476845	chr13_48476698_48476845_RB1	RB1_NM_000321.3_exon25_CDS	RB1	+	mutation_panel	.	.	147
chr13	48477352	48477406	chr13_48477352_48477406_RB1	RB1_NM_000321.3_exon26_CDS	RB1	+	mutation_panel	.	.	54
chr13	48479995	48480073	chr13_48479995_48480073_RB1	RB1_NM_000321.3_exon27_CDS	RB1	+	mutation_panel	.	.	78
chr13	72759792	72759880	chr13_72759792_72759880_DIS3	DIS3_NM_014953.5_exon21_CDS	DIS3	-	mutation_panel	.	.	88
chr13	72760526	72760653	chr13_72760526_72760653_DIS3	DIS3_NM_014953.5_exon20_CDS	DIS3	-	mutation_panel	.	.	127
chr13	72761360	72761523	chr13_72761360_72761523_DIS3	DIS3_NM_014953.5_exon19_CDS	DIS3	-	mutation_panel	.	.	163
chr13	72761643	72761816	chr13_72761643_72761816_DIS3	DIS3_NM_014953.5_exon18_CDS	DIS3	-	mutation_panel	.	.	173
chr13	72761920	72762139	chr13_72761920_72762139_DIS3	DIS3_NM_014953.5_exon17_CDS	DIS3	-	mutation_panel	.	.	219
chr13	72763448	72763609	chr13_72763448_72763609_DIS3	DIS3_NM_014953.5_exon16_CDS	DIS3	-	mutation_panel	.	.	161
chr13	72765969	72766060	chr13_72765969_72766060_DIS3	DIS3_NM_014953.5_exon15_CDS	DIS3	-	mutation_panel	.	.	91
chr13	72768782	72768914	chr13_72768782_72768914_DIS3	DIS3_NM_014953.5_exon14_CDS	DIS3	-	mutation_panel	.	.	132
chr13	72770901	72770990	chr13_72770901_72770990_DIS3	DIS3_NM_014953.5_exon13_CDS	DIS3	-	mutation_panel	.	.	89
chr13	72771078	72771147	chr13_72771078_72771147_DIS3	DIS3_NM_014953.5_exon12_CDS	DIS3	-	mutation_panel	.	.	69
chr13	72771792	72771898	chr13_72771792_72771898_DIS3	DIS3_NM_014953.5_exon11_CDS	DIS3	-	mutation_panel	.	.	106
chr13	72772156	72772277	chr13_72772156_72772277_DIS3	DIS3_NM_014953.5_exon10_CDS	DIS3	-	mutation_panel	.	.	121
chr13	72772690	72772841	chr13_72772690_72772841_DIS3	DIS3_NM_014953.5_exon9_CDS	DIS3	-	mutation_panel	.	.	151
chr13	72773681	72773823	chr13_72773681_72773823_DIS3	DIS3_NM_014953.5_exon8_CDS	DIS3	-	mutation_panel	.	.	142
chr13	72773943	72774061	chr13_72773943_72774061_DIS3	DIS3_NM_014953.5_exon7_CDS	DIS3	-	mutation_panel	.	.	118
chr13	72775208	72775377	chr13_72775208_72775377_DIS3	DIS3_NM_014953.5_exon6_CDS	DIS3	-	mutation_panel	.	.	169
chr13	72775922	72776094	chr13_72775922_72776094_DIS3	DIS3_NM_014953.5_exon5_CDS	DIS3	-	mutation_panel	.	.	172
chr13	72777417	72777495	chr13_72777417_72777495_DIS3	DIS3_NM_014953.5_exon4_CDS	DIS3	-	mutation_panel	.	.	78
chr13	72778184	72778382	chr13_72778184_72778382_DIS3	DIS3_NM_014953.5_exon3_CDS	DIS3	-	mutation_panel	.	.	198
chr13	72780843	72781005	chr13_72780843_72781005_DIS3	DIS3_NM_014953.5_exon2_CDS	DIS3	-	mutation_panel	.	.	162
chr13	72781602	72781834	chr13_72781602_72781834_DIS3	DIS3_NM_014953.5_exon1_CDS	DIS3	-	mutation_panel	.	.	232
chr13	80100316	80100481	chr13_80100316_80100481_SHM	Hypermutation region	SHM	.	SHM_panel	.	.	165
chr13	91350325	91351419	chr13_91350325_91351419_MIR17HG	MIR17HG	MIR17HG	+	SHM_panel	.	.	1094
chr13	96103886	96104035	chr13_96103886_96104035_SHM	Hypermutation region	SHM	.	SHM_panel	.	.	149
chr14	23307765	23308201	chr14_23307765_23308201_BCL2L2	BCL2L2_NM_004050.5_exon3_CDS	BCL2L2	+	mutation_panel	.	.	436
chr14	23308813	23308967	chr14_23308813_23308967_BCL2L2	BCL2L2_NM_004050.5_exon4_CDS	BCL2L2	+	mutation_panel	.	.	154
chr14	35402010	35402062	chr14_35402010_35402062_NFKBIA	NFKBIA_NM_020529.3_exon6_CDS	NFKBIA	-	mutation_panel	.	.	52
chr14	35402391	35402665	chr14_35402391_35402665_NFKBIA	NFKBIA_NM_020529.3_exon5_CDS	NFKBIA	-	mutation_panel	.	.	274
chr14	35402768	35402861	chr14_35402768_35402861_NFKBIA	NFKBIA_NM_020529.3_exon4_CDS	NFKBIA	-	mutation_panel	.	.	93
chr14	35403147	35403362	chr14_35403147_35403362_NFKBIA	NFKBIA_NM_020529.3_exon3_CDS	NFKBIA	-	mutation_panel	.	.	215
chr14	35403687	35403800	chr14_35403687_35403800_NFKBIA	NFKBIA_NM_020529.3_exon2_CDS	NFKBIA	-	mutation_panel	.	.	113
chr14	35404415	35404646	chr14_35404415_35404646_NFKBIA	NFKBIA_NM_020529.3_exon1_CDS	NFKBIA	-	mutation_panel	.	.	231
chr14	68789530	68793061	chr14_68789530_68793061_ZFP36L1	ZFP36L1_NM_004926.4_exon1_CDS;ZFP36L1_NM_004926.4_exon2_CDS;ZFP36L1_SHM	ZFP36L1	-	SHM_panel|mutation_panel	.	.	3531
chr14	69918155	69918304	chr14_69918155_69918304_SHM	Hypermutation region	SHM	.	SHM_panel	.	.	149
chr14	87364102	87364251	chr14_87364102_87364251_SHM	Hypermutation region	SHM	.	SHM_panel	.	.	149
chr14	94474398	94476040	chr14_94474398_94476040_NA_SERPINA9	NA;SERPINA9_SHM	NA;SERPINA9	.	SHM_panel	.	.	1642
chr14	95712862	95714708	chr14_95712862_95714708_TCL1A	TCL1A_SHM	TCL1A	-	SHM_panel	.	.	1846
chr14	102870199	102870448	chr14_102870199_102870448_TRAF3	TRAF3_NM_145725.3_exon3_CDS	TRAF3	+	mutation_panel	.	.	249
chr14	102871914	102871970	chr14_102871914_102871970_TRAF3	TRAF3_NM_145725.3_exon4_CDS	TRAF3	+	mutation_panel	.	.	56
chr14	102875621	102875730	chr14_102875621_102875730_TRAF3	TRAF3_NM_145725.3_exon5_CDS	TRAF3	+	mutation_panel	.	.	109
chr14	102876355	102876527	chr14_102876355_102876527_TRAF3	TRAF3_NM_145725.3_exon6_CDS	TRAF3	+	mutation_panel	.	.	172
chr14	102886186	102886271	chr14_102886186_102886271_TRAF3	TRAF3_NM_145725.3_exon7_CDS	TRAF3	+	mutation_panel	.	.	85
chr14	102889557	102889636	chr14_102889557_102889636_TRAF3	TRAF3_NM_145725.3_exon8_CDS	TRAF3	+	mutation_panel	.	.	79
chr14	102891322	102891419	chr14_102891322_102891419_TRAF3	TRAF3_NM_145725.3_exon9_CDS	TRAF3	+	mutation_panel	.	.	97
chr14	102897258	102897403	chr14_102897258_102897403_TRAF3	TRAF3_NM_145725.3_exon10_CDS	TRAF3	+	mutation_panel	.	.	145
chr14	102903252	102903431	chr14_102903252_102903431_TRAF3	TRAF3_NM_145725.3_exon11_CDS	TRAF3	+	mutation_panel	.	.	179
chr14	102905210	102905786	chr14_102905210_102905786_TRAF3	TRAF3_NM_145725.3_exon12_CDS	TRAF3	+	mutation_panel	.	.	576
chr14	105588193	105593393	chr14_105588193_105593393_IGH	IGH_IMGT_region|IGH_OTHER	IGH	.	SV_backbone	.	.	5200
chr14	105597685	105597779	chr14_105597685_105597779_IGHE	IGHE_IMGT_C_exon6	IGHE	-	SHM_panel	.	.	94
chr14	105597853	105597985	chr14_105597853_105597985_IGHE	IGHE_IMGT_C_exon5	IGHE	-	SHM_panel	.	.	132
chr14	105600068	105600402	chr14_105600068_105600402_IGHE	IGHE_IMGT_C_exon4	IGHE	-	SHM_panel	.	.	334
chr14	105600475	105600809	chr14_105600475_105600809_IGHE	IGHE_IMGT_C_exon3	IGHE	-	SHM_panel	.	.	334
chr14	105600885	105601216	chr14_105600885_105601216_IGHE	IGHE_IMGT_C_exon2	IGHE	-	SHM_panel	.	.	331
chr14	105601413	105606726	chr14_105601413_105606726_IGH_IGHE	IGHE_IMGT_C_exon1;IGH_IMGT_region;IGH_IMGT_region|IGH_OTHER	IGH;IGHE	-	SHM_panel|SV_backbone	.	.	5313
chr14	105621906	105622000	chr14_105621906_105622000_IGHG4	IGHG4_IMGT_C_exon6	IGHG4	-	SHM_panel	.	.	94
chr14	105623062	105623203	chr14_105623062_105623203_IGHG4	IGHG4_IMGT_C_exon5	IGHG4	-	SHM_panel	.	.	141
chr14	105624478	105624803	chr14_105624478_105624803_IGHG4	IGHG4_IMGT_C_exon4	IGHG4	-	SHM_panel	.	.	325
chr14	105624890	105631064	chr14_105624890_105631064_IGH_IGHG4	IGHG4_IMGT_C_exon1;IGHG4_IMGT_C_exon2;IGHG4_IMGT_C_exon3;IGH_IMGT_region;IGH_IMGT_region|IGH_OTHER	IGH;IGHG4	-	SHM_panel|SV_backbone	.	.	6174
chr14	105640959	105641053	chr14_105640959_105641053_IGHG2	IGHG2_IMGT_C_exon6	IGHG2	-	SHM_panel	.	.	94
chr14	105641773	105641914	chr14_105641773_105641914_IGHG2	IGHG2_IMGT_C_exon5	IGHG2	-	SHM_panel	.	.	141
chr14	105643140	105649788	chr14_105643140_105649788_IGH	IGHG2_IMGT_C_exon1;IGHG2_IMGT_C_exon2;IGHG2_IMGT_C_exon3;IGHG2_IMGT_C_exon4;IGH_IMGT_region;IGH_IMGT_region|IGH_OTHER	IGH	.	SHM_panel|SV_backbone	.	.	6648
chr14	105703989	105704091	chr14_105703989_105704091_IGHA1	IGHA1_IMGT_C_exon5	IGHA1	-	SHM_panel	.	.	102
chr14	105704361	105704589	chr14_105704361_105704589_IGHA1	IGHA1_IMGT_C_exon4	IGHA1	-	SHM_panel	.	.	228
chr14	105707224	105707567	chr14_105707224_105707567_IGHA1	IGHA1_IMGT_C_exon3	IGHA1	-	SHM_panel	.	.	343
chr14	105707779	105708149	chr14_105707779_105708149_IGHA1	IGHA1_IMGT_C_exon2	IGHA1	-	SHM_panel	.	.	370
chr14	105708353	105713663	chr14_105708353_105713663_IGH_IGHA1	IGHA1_IMGT_C_exon1;IGH_IMGT_region;IGH_IMGT_region|IGH_OTHER	IGH;IGHA1	-	SHM_panel|SV_backbone	.	.	5310
chr14	105737756	105737850	chr14_105737756_105737850_IGHG1	IGHG1_IMGT_C_exon6	IGHG1	-	SHM_panel	.	.	94
chr14	105740057	105740198	chr14_105740057_105740198_IGHG1	IGHG1_IMGT_C_exon5	IGHG1	-	SHM_panel	.	.	141
chr14	105741475	105741800	chr14_105741475_105741800_IGHG1	IGHG1_IMGT_C_exon4	IGHG1	-	SHM_panel	.	.	325
chr14	105741887	105742227	chr14_105741887_105742227_IGHG1	IGHG1_IMGT_C_exon3	IGHG1	-	SHM_panel	.	.	340
chr14	105742335	105742390	chr14_105742335_105742390_IGHG1	IGHG1_IMGT_C_exon2	IGHG1	-	SHM_panel	.	.	55
chr14	105742771	105749069	chr14_105742771_105749069_IGH_IGHG1	IGHG1_IMGT_C_exon1;IGH_IMGT_region;IGH_IMGT_region|IGH_OTHER	IGH;IGHG1	-	SHM_panel|SV_backbone	.	.	6298
chr14	105765908	105766002	chr14_105765908_105766002_IGHG3	IGHG3_IMGT_C_exon9	IGHG3	-	SHM_panel	.	.	94
chr14	105767807	105767948	chr14_105767807_105767948_IGHG3	IGHG3_IMGT_C_exon8	IGHG3	-	SHM_panel	.	.	141
chr14	105769239	105769564	chr14_105769239_105769564_IGHG3	IGHG3_IMGT_C_exon7	IGHG3	-	SHM_panel	.	.	325
chr14	105769651	105769991	chr14_105769651_105769991_IGHG3	IGHG3_IMGT_C_exon6	IGHG3	-	SHM_panel	.	.	340
chr14	105770099	105770154	chr14_105770099_105770154_IGHG3	IGHG3_IMGT_C_exon5	IGHG3	-	SHM_panel	.	.	55
chr14	105770287	105770342	chr14_105770287_105770342_IGHG3	IGHG3_IMGT_C_exon4	IGHG3	-	SHM_panel	.	.	55
chr14	105770475	105770530	chr14_105770475_105770530_IGHG3	IGHG3_IMGT_C_exon3	IGHG3	-	SHM_panel	.	.	55
chr14	105770663	105770724	chr14_105770663_105770724_IGHG3	IGHG3_IMGT_C_exon2	IGHG3	-	SHM_panel	.	.	61
chr14	105771106	105776904	chr14_105771106_105776904_IGH_IGHG3	IGHG3_IMGT_C_exon1;IGH_IMGT_region;IGH_IMGT_region|IGH_OTHER	IGH;IGHG3	-	SHM_panel|SV_backbone	.	.	5798
chr14	105851699	105851979	chr14_105851699_105851979_IGHM	IGHM_IMGT_C_exon6	IGHM	-	SHM_panel	.	.	280
chr14	105852142	105852268	chr14_105852142_105852268_IGHM	IGHM_IMGT_C_exon5	IGHM	-	SHM_panel	.	.	126
chr14	105854399	105854742	chr14_105854399_105854742_IGHM	IGHM_IMGT_C_exon4	IGHM	-	SHM_panel	.	.	343
chr14	105854911	105855239	chr14_105854911_105855239_IGHM	IGHM_IMGT_C_exon3	IGHM	-	SHM_panel	.	.	328
chr14	105855474	105865760	chr14_105855474_105865760_IGH_IGHM	IGHJ1_ENST00000390565_exon1_CDS;IGHJ2_ENST00000390564_exon1_CDS;IGHJ3_ENST00000463911_exon1_CDS;IGHJ4_IMGT_J_exon1;IGHJ5_IMGT_J_exon1;IGHJ6_IMGT_J_exon1;IGHM_IMGT_C_exon1;IGHM_IMGT_C_exon2;IGH_IMGT_region;IGH_IMGT_region|J-C_Eu	IGH;IGHM	-	SHM_panel|SV_backbone	.	.	10286
chr14	105880833	105881252	chr14_105880833_105881252_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	419
chr14	105881338	105881755	chr14_105881338_105881755_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	417
chr14	105883702	105884121	chr14_105883702_105884121_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	419
chr14	105884669	105885087	chr14_105884669_105885087_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	418
chr14	105885830	105886260	chr14_105885830_105886260_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	430
chr14	105888350	105888777	chr14_105888350_105888777_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	427
chr14	105890990	105891406	chr14_105890990_105891406_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	416
chr14	105891498	105891918	chr14_105891498_105891918_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	420
chr14	105893341	105893760	chr14_105893341_105893760_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	419
chr14	105894307	105894722	chr14_105894307_105894722_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	415
chr14	105895433	105895869	chr14_105895433_105895869_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	436
chr14	105897756	105898186	chr14_105897756_105898186_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	430
chr14	105900437	105900853	chr14_105900437_105900853_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	416
chr14	105900941	105901361	chr14_105900941_105901361_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	420
chr14	105902448	105902870	chr14_105902448_105902870_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	422
chr14	105903415	105903830	chr14_105903415_105903830_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	415
chr14	105904296	105904910	chr14_105904296_105904910_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	614
chr14	105907010	105907440	chr14_105907010_105907440_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	430
chr14	105909706	105910122	chr14_105909706_105910122_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	416
chr14	105910209	105910626	chr14_105910209_105910626_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	417
chr14	105912056	105912475	chr14_105912056_105912475_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	419
chr14	105913021	105913436	chr14_105913021_105913436_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	415
chr14	105914158	105914588	chr14_105914158_105914588_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	430
chr14	105916625	105917055	chr14_105916625_105917055_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	430
chr14	105919301	105919717	chr14_105919301_105919717_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	416
chr14	105939553	105939953	chr14_105939553_105939953_IGH	IGH_IMGT_region|J-C_Eu	IGH	.	SV_backbone	.	.	400
chr14	105986381	105986781	chr14_105986381_105986781_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106004894	106005294	chr14_106004894_106005294_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106037701	106038101	chr14_106037701_106038101_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106061948	106063034	chr14_106061948_106063034_IGH_IGHV3-7	IGHV3-7_IMGT_V_exon1;IGHV3-7_IMGT_V_exon2;IGHV3-7_IMGT_V_intron;IGH_IMGT_region|SWITCH	IGH;IGHV3-7	-	SHM_panel|SV_backbone	.	.	1086
chr14	106116435	106116834	chr14_106116435_106116834_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	399
chr14	106129339	106129739	chr14_106129339_106129739_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106153421	106153821	chr14_106153421_106153821_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106184698	106185098	chr14_106184698_106185098_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106210735	106211135	chr14_106210735_106211135_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106234859	106236043	chr14_106234859_106236043_IGH_IGHV3-21	IGHV3-21_IMGT_V_exon1;IGHV3-21_IMGT_V_exon2;IGHV3-21_IMGT_V_promoter;IGH_IMGT_region;IGH_IMGT_region|SWITCH	IGH;IGHV3-21	-	SHM_panel|SV_backbone	.	.	1184
chr14	106268405	106269907	chr14_106268405_106269907_IGH_IGHV3-23	IGHV3-23_IMGT_V_exon1;IGHV3-23_IMGT_V_exon2;IGHV3-23_IMGT_V_intron;IGH_IMGT_region;IGH_IMGT_region|SWITCH	IGH;IGHV3-23	-	SHM_panel|SV_backbone	.	.	1502
chr14	106275960	106277067	chr14_106275960_106277067_IGH	IGHV1-24_IMGT_V_exon2;IGH_IMGT_region	IGH	.	SHM_panel	.	.	1107
chr14	106301194	106301594	chr14_106301194_106301594_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106324053	106324565	chr14_106324053_106324565_IGH_IGHV4-28	IGHV4-28_IMGT_V_exon2;IGH_IMGT_region|SWITCH	IGH;IGHV4-28	-	SHM_panel|SV_backbone	.	.	512
chr14	106324637	106324765	chr14_106324637_106324765_IGHV4-28	IGHV4-28_IMGT_V_exon1	IGHV4-28	-	SHM_panel	.	.	128
chr14	106334879	106335279	chr14_106334879_106335279_IGH	IGH_IMGT_region|SWITCH	IGH	.	SV_backbone	.	.	400
chr14	106348542	106350277	chr14_106348542_106350277_IGH	IGHV4-31_IMGT_V_exon1;IGHV4-31_IMGT_V_exon2;IGH_IMGT_region	IGH	.	SHM_panel	.	.	1735
chr14	106359590	106360102	chr14_106359590_106360102_IGH_IGHV3-33	IGHV3-33_IMGT_V_exon2;IGH_IMGT_region|SWITCH	IGH;IGHV3-33	-	SHM_panel|SV_backbone	.	.	512
chr14	106360193	106360329	chr14_106360193_106360329_IGHV3-33	IGHV3-33_IMGT_V_exon1	IGHV3-33	-	SHM_panel	.	.	136
chr14	106373379	106375278	chr14_106373379_106375278_IGH	IGHV4-34_IMGT_V_exon1;IGHV4-34_IMGT_V_exon2;IGH_IMGT_region	IGH	.	SHM_panel	.	.	1899
chr14	106410487	106410799	chr14_106410487_106410799_IGHV3-38	IGHV3-38_IMGT_V_exon2	IGHV3-38	-	SHM_panel	.	.	312
chr14	106410892	106411226	chr14_106410892_106411226_IGHV3-38	IGHV3-38_IMGT_V_exon1	IGHV3-38	-	SHM_panel	.	.	334
chr14	106421502	106423170	chr14_106421502_106423170_IGH	IGHV4-39_IMGT_V_exon1;IGHV4-39_IMGT_V_exon2;IGH_IMGT_region;IGH_IMGT_region|3RR	IGH	.	SHM_panel|SV_backbone	.	.	1668
chr14	106470062	106470462	chr14_106470062_106470462_IGH	IGH_IMGT_region|3RR	IGH	.	SV_backbone	.	.	400
chr14	106506795	106507195	chr14_106506795_106507195_IGH	IGH_IMGT_region|3RR	IGH	.	SV_backbone	.	.	400
chr14	106510914	106511426	chr14_106510914_106511426_IGH_IGHV1-46	IGHV1-46_IMGT_V_exon2;IGH_IMGT_region|3RR	IGH;IGHV1-46	-	SHM_panel|SV_backbone	.	.	512
